N_ID,Marca,Modelo,Anyo,Color,Kilómetros,Motor,Combustible,Tamaño,N_Ocupantes,Peso,C_Maletero,Potencia,Emisiones,Autonomía,Precio,Edad,Depreciacion_Edad,Depreciacion_Kilometros,Depreciacion_Total,Valor_Estimado,Perdida_Valor,Coste_Por_Km,Categoria_Precio,Etiqueta_Ambiental
12,Audi,e-tron,2024,Naranja,31924.0,Híbrido,Híbrido,404x173x143,5,1462,539.0,88 CV,63.7,650.0,32464.9,2,0.3,0.031924,0.331924,21689.02,10775.88,1.02,Premium,ECO
13,Dacia,Jogger,2016,Plata,142780.0,Híbrido,Híbrido,397x183x145,5,1573,338.0,188 CV,70.4,650.0,7024.71,10,1.5,0.14278,0.9,702.47,6322.24,0.05,Economico,ECO
14,Ford,Fiesta,2016,Plata,134490.0,Híbrido,Híbrido,407x182x168,5,1268,499.0,142 CV,76.3,746.0,14444.06,10,1.5,0.13449,0.9,1444.41,12999.65,0.11,Economico,ECO
15,Dacia,Spring,2017,Plata,159498.0,2.0 BlueHDi,Gasolina,474x187x141,5,1158,544.0,203 CV,136.6,781.5,11202.63,9,1.3499999999999999,0.15949800000000003,0.9,1120.26,10082.37,0.07,Economico,B
16,Mercedes-Benz,Clase C,2016,Marrón,102260.0,1.5 dCi,Diésel,395x188x147,7,1708,466.56410256410254,95 CV,113.9,867.0,27650.96,10,1.5,0.10226,0.9,2765.1,24885.86,0.27,Premium,C
17,Toyota,Corolla,2020,Plata,100218.0,Eléctrico,Eléctrico,438x180x169,5,1109,588.0,125 kW,0.0,268.0,25871.08,6,0.8999999999999999,0.10021800000000002,0.9,2587.11,23283.97,0.26,Premium,CERO
18,Ford,Puma,2017,Rojo,92286.0,Eléctrico,Eléctrico,416x175x154,7,1409,570.0,102 kW,0.0,420.0,22802.83,9,1.3499999999999999,0.092286,0.9,2280.28,20522.55,0.25,Medio,CERO
19,Toyota,Yaris,2017,Azul,106038.0,Híbrido,Híbrido Enchufable,399x178x149,7,1315,404.0,250 CV,61.7,58.0,20699.27,9,1.3499999999999999,0.10603800000000002,0.9,2069.93,18629.34,0.2,Medio,ECO
20,Toyota,Yaris,2016,Verde,139130.0,Eléctrico,Eléctrico,478x174x160,5,1265,582.0,280 kW,0.0,359.0,21689.25,10,1.5,0.13913,0.9,2168.92,19520.33,0.16,Medio,CERO
21,Renault,Clio,2017,Amarillo,82620.0,Híbrido,Híbrido Enchufable,450x174x153,5,1142,320.0,166 CV,40.5,57.0,18247.47,9,1.3499999999999999,0.08262000000000001,0.9,1824.75,16422.72,0.22,Medio,ECO
22,Opel,Mokka,2021,Marrón,65320.0,1.4 TSI,Diésel,402x183x140,5,1440,510.0,246 CV,133.9,736.0,14723.58,5,0.75,0.06532,0.81532,2719.15,12004.43,0.23,Economico,B
23,Dacia,Sandero,2021,Blanco,117115.0,Híbrido,Híbrido,424x179x166,5,1328,466.56410256410254,124 CV,49.9,635.0,16955.11,5,0.75,0.117115,0.867115,2253.08,14702.03,0.14,Medio,ECO
24,Toyota,C-HR,2023,Verde,56553.0,1.6 TDI,Gasolina,402x188x170,5,1139,522.0,163 CV,125.7,861.0,19345.17,3,0.44999999999999996,0.056553,0.5065529999999999,9545.82,9799.35,0.34,Medio,B
25,Audi,e-tron,2018,Azul,75632.0,1.5 BlueHDi,Gasolina,448x176x151,5,1171,469.0,234 CV,152.4,753.0,28116.98,8,1.2,0.075632,0.9,2811.7,25305.28,0.37,Premium,B
26,Kia,Stonic,2020,Verde,106128.0,1.5 dCi,Diésel,465x182x161,5,1730,507.0,215 CV,132.5,707.0,17089.11,6,0.8999999999999999,0.106128,0.9,1708.91,15380.2,0.16,Medio,B
27,Hyundai,Tucson,2020,Naranja,134856.0,1.5 BlueHDi,Diésel,440x175x161,5,1390,471.0,98 CV,131.8,944.0,15683.36,6,0.8999999999999999,0.134856,0.9,1568.34,14115.02,0.12,Medio,B
28,BMW,Serie 3,2017,Blanco,85626.0,Híbrido,Híbrido,458x172x154,5,1744,496.0,201 CV,50.0,739.0,29800.98,9,1.3499999999999999,0.08562600000000001,0.9,2980.1,26820.88,0.35,Premium,ECO
29,Audi,A1,2021,Plata,68815.0,Híbrido,Híbrido Enchufable,439x171x157,5,1224,537.0,245 CV,56.6,67.0,38987.62,5,0.75,0.068815,0.818815,7063.97,31923.65,0.57,Lujo,ECO
30,BMW,X3,2024,Amarillo,43966.0,Híbrido,Híbrido Enchufable,437x175x163,5,1560,426.0,238 CV,43.9,74.0,45690.4,2,0.3,0.043966000000000005,0.343966,29974.46,15715.94,1.04,Lujo,ECO
31,Kia,Rio,2019,Naranja,73766.0,1.6 TDI,Diésel,422x180x168,7,1182,418.0,173 CV,126.2,632.0,16228.94,7,1.05,0.073766,0.9,1622.89,14606.05,0.22,Medio,B
32,Opel,Mokka,2022,Verde,40160.0,Híbrido,Híbrido,429x188x170,5,1689,303.0,165 CV,44.9,814.0,18455.76,4,0.6,0.04016,0.64016,6641.12,11814.64,0.46,Medio,ECO
33,Dacia,Duster,2022,Plata,67772.0,1.5 dCi,Gasolina,423x182x163,5,1578,573.0,81 CV,139.6,642.0,14882.0,4,0.6,0.067772,0.667772,4944.22,9937.78,0.22,Economico,B
34,Peugeot,3008,2017,Blanco,148716.0,1.6 HDi,Diésel,421x180x164,5,1384,515.0,139 CV,132.6,983.0,16135.35,9,1.3499999999999999,0.14871600000000001,0.9,1613.53,14521.82,0.11,Medio,B
35,Opel,Astra,2016,Blanco,90160.0,1.0 TSI,Diésel,459x174x147,5,1584,588.0,130 CV,115.9,788.0,11292.31,10,1.5,0.09016,0.9,1129.23,10163.08,0.13,Economico,C
36,Hyundai,i10,2017,Azul,103878.0,Eléctrico,Eléctrico,453x182x152,5,1177,424.0,126 kW,0.0,428.0,21431.85,9,1.3499999999999999,0.10387800000000001,0.9,2143.18,19288.67,0.21,Medio,CERO
37,Mercedes-Benz,EQA,2016,Marrón,93450.0,Híbrido,Híbrido,464x181x142,7,1763,515.0,200 CV,35.3,925.0,32252.6,10,1.5,0.09345,0.9,3225.26,29027.34,0.35,Premium,ECO
38,Nissan,Juke,2021,Gris,84250.0,Híbrido,Híbrido Enchufable,479x185x154,5,1706,425.0,97 CV,43.9,64.0,20946.91,5,0.75,0.08425,0.83425,3471.95,17474.96,0.25,Medio,ECO
39,Nissan,Leaf,2024,Verde,34942.0,Eléctrico,Eléctrico,403x185x146,5,1364,441.0,242 kW,0.0,252.0,28004.02,2,0.3,0.034942,0.33494199999999996,18624.3,9379.72,0.8,Premium,CERO
40,Volkswagen,Polo,2018,Verde,192072.0,1.6 HDi,Diésel,462x185x154,5,1195,507.0,137 CV,108.8,842.0,19467.78,8,1.2,0.19207200000000002,0.9,1946.78,17521.0,0.1,Medio,C
41,Opel,Grandland,2023,Rojo,58584.0,Eléctrico,Eléctrico,419x178x147,5,1297,574.0,295 kW,0.0,426.0,21686.2,3,0.44999999999999996,0.058584000000000004,0.5085839999999999,10656.95,11029.25,0.37,Medio,CERO
42,Volkswagen,T-Roc,2019,Marrón,120911.0,1.6 TDI,Diésel,409x181x145,5,1114,364.0,145 CV,97.0,837.0,18257.09,7,1.05,0.12091099999999999,0.9,1825.71,16431.38,0.15,Medio,C
43,Peugeot,3008,2016,Blanco,173170.0,Híbrido,Híbrido,423x175x170,5,1358,544.0,104 CV,71.1,637.0,15676.17,10,1.5,0.17317000000000002,0.9,1567.62,14108.55,0.09,Medio,ECO
44,Kia,Picanto,2017,Gris,106038.0,1.2 TSI,Diésel,451x183x159,7,1733,567.0,172 CV,115.3,901.0,19350.25,9,1.3499999999999999,0.10603800000000002,0.9,1935.02,17415.23,0.18,Medio,C
45,Toyota,Aygo,2024,Blanco,22502.0,1.5 TSI,Diésel,413x172x145,5,1277,380.0,75 CV,113.4,840.0,21590.07,2,0.3,0.022502,0.322502,14627.23,6962.84,0.96,Medio,C
46,Volkswagen,T-Cross,2019,Naranja,72324.0,Eléctrico,Eléctrico,480x190x158,5,1535,415.0,265 kW,0.0,288.0,28863.29,7,1.05,0.072324,0.9,2886.33,25976.96,0.4,Premium,CERO
47,Mercedes-Benz,Clase C,2016,Blanco,134360.0,Híbrido,Híbrido Enchufable,475x188x169,5,1549,455.0,178 CV,77.1,66.0,35063.85,10,1.5,0.13436,0.9,3506.38,31557.47,0.26,Lujo,ECO
48,Nissan,Micra,2024,Blanco,44312.0,Híbrido,Híbrido Enchufable,412x170x142,5,1790,594.0,225 CV,77.5,74.0,27182.25,2,0.3,0.044312000000000004,0.344312,17823.08,9359.17,0.61,Premium,ECO
49,Toyota,Aygo,2015,Gris,257587.0,Híbrido,Híbrido,415x175x158,5,1750,346.0,195 CV,47.4,943.0,12536.8,11,1.65,0.257587,0.9,1253.68,11283.12,0.05,Economico,ECO
50,Peugeot,2008,2021,Naranja,87220.0,Híbrido,Híbrido,477x187x141,5,1190,465.0,104 CV,78.5,863.0,21459.42,5,0.75,0.08722,0.83722,3493.16,17966.26,0.25,Medio,ECO
51,SEAT,Tarraco,2022,Verde,39104.0,Eléctrico,Eléctrico,459x185x160,5,1152,581.0,133 kW,0.0,487.0,22236.23,4,0.6,0.039104,0.639104,8024.97,14211.26,0.57,Medio,CERO
52,Audi,Q3,2016,Blanco,158410.0,Eléctrico,Eléctrico,450x170x157,5,1195,358.0,218 kW,0.0,492.0,29685.73,10,1.5,0.15841000000000002,0.9,2968.57,26717.16,0.19,Premium,CERO
53,Mercedes-Benz,Clase C,2022,Azul,98696.0,Híbrido,Híbrido,441x185x147,5,1664,397.0,228 CV,55.4,635.0,36449.98,4,0.6,0.098696,0.698696,10982.52,25467.46,0.37,Lujo,ECO
54,BMW,X3,2020,Amarillo,100524.0,Eléctrico,Eléctrico,472x179x166,7,1693,550.0,138 kW,0.0,364.0,42258.64,6,0.8999999999999999,0.100524,0.9,4225.86,38032.78,0.42,Lujo,CERO
55,Opel,Crossland,2023,Amarillo,61080.0,Eléctrico,Eléctrico,404x177x158,5,1339,510.0,111 kW,0.0,331.0,26162.64,3,0.44999999999999996,0.06108,0.51108,12791.44,13371.2,0.43,Premium,CERO
56,Dacia,Spring,2021,Gris,121150.0,1.5 BlueHDi,Diésel,455x180x167,5,1550,533.0,78 CV,127.5,935.0,16979.65,5,0.75,0.12115000000000001,0.87115,2187.83,14791.82,0.14,Medio,B
57,Renault,Kadjar,2019,Rojo,147168.0,Eléctrico,Eléctrico,466x187x152,5,1741,549.0,238 kW,0.0,259.0,20945.68,7,1.05,0.14716800000000002,0.9,2094.57,18851.11,0.14,Medio,CERO
58,Volkswagen,T-Cross,2018,Negro,177760.0,1.6 HDi,Gasolina,401x179x168,5,1147,328.0,150 CV,131.5,810.0,19567.42,8,1.2,0.17776000000000003,0.9,1956.74,17610.68,0.11,Medio,B
59,BMW,Serie 3,2017,Gris,95283.0,Híbrido,Híbrido,459x177x155,7,1246,430.0,192 CV,42.8,739.0,30737.06,9,1.3499999999999999,0.095283,0.9,3073.71,27663.35,0.32,Premium,ECO
60,Audi,Q2,2023,Gris,31260.0,Eléctrico,Eléctrico,455x179x160,5,1356,454.0,150 kW,0.0,348.0,47584.68,3,0.44999999999999996,0.03126,0.48125999999999997,24684.08,22900.6,1.52,Lujo,CERO
61,Renault,Megane,2021,Marrón,98810.0,Eléctrico,Eléctrico,382x182x148,5,1679,325.0,255 kW,0.0,440.0,21747.82,5,0.75,0.09881000000000001,0.8488100000000001,3288.05,18459.77,0.22,Medio,CERO
62,Audi,Q2,2018,Marrón,156352.0,2.0 BlueHDi,Diésel,412x174x160,5,1742,458.0,187 CV,96.5,667.0,24781.07,8,1.2,0.15635200000000002,0.9,2478.11,22302.96,0.16,Medio,C
63,Toyota,C-HR,2021,Gris,72895.0,Híbrido,Híbrido Enchufable,426x186x156,5,1268,546.0,150 CV,67.3,60.0,27121.86,5,0.75,0.072895,0.822895,4803.42,22318.44,0.37,Premium,ECO
64,Nissan,Micra,2017,Plata,189198.0,Híbrido,Híbrido Enchufable,426x172x165,5,1114,363.0,191 CV,48.4,73.0,20630.73,9,1.3499999999999999,0.189198,0.9,2063.07,18567.66,0.11,Medio,ECO
65,Hyundai,Kona,2020,Negro,93966.0,Híbrido,Híbrido Enchufable,451x180x169,7,1326,537.0,152 CV,62.5,53.0,17558.22,6,0.8999999999999999,0.09396600000000001,0.9,1755.82,15802.4,0.19,Medio,ECO
66,SEAT,Arona,2022,Negro,44736.0,Híbrido,Híbrido Enchufable,397x182x154,5,1786,576.0,182 CV,59.4,73.0,19404.18,4,0.6,0.044736,0.644736,6893.61,12510.57,0.43,Medio,ECO
67,Citroën,C3,2022,Marrón,85492.0,Eléctrico,Eléctrico,384x181x146,5,1555,485.0,125 kW,0.0,425.0,23507.68,4,0.6,0.08549200000000001,0.685492,7393.35,16114.33,0.27,Medio,CERO
68,Audi,Q2,2015,Verde,187440.0,1.6 HDi,Gasolina,391x176x160,7,1121,470.0,137 CV,149.3,991.0,24533.66,11,1.65,0.18744000000000002,0.9,2453.37,22080.29,0.13,Medio,B
69,Hyundai,i20,2018,Rojo,102680.0,Híbrido,Híbrido Enchufable,380x178x167,5,1233,389.0,103 CV,63.1,50.0,15766.43,8,1.2,0.10268,0.9,1576.64,14189.79,0.15,Medio,ECO
70,Opel,Astra,2024,Rojo,17034.0,1.4 TSI,Gasolina,474x183x156,5,1165,485.0,206 CV,132.6,914.0,15896.92,2,0.3,0.017034,0.317034,10857.06,5039.86,0.93,Medio,B
71,BMW,iX3,2019,Naranja,125454.0,Híbrido,Híbrido,431x183x161,5,1602,527.0,93 CV,75.0,675.0,27625.46,7,1.05,0.125454,0.9,2762.55,24862.91,0.22,Premium,ECO
72,Toyota,Aygo,2024,Amarillo,37310.0,Híbrido,Híbrido Enchufable,447x179x154,7,1719,358.0,242 CV,62.5,74.0,28122.68,2,0.3,0.03731,0.33731,18636.62,9486.06,0.75,Premium,ECO
73,Mercedes-Benz,Clase C,2021,Naranja,77435.0,Híbrido,Híbrido,431x183x163,5,1420,430.0,170 CV,77.7,842.0,33257.07,5,0.75,0.077435,0.827435,5739.01,27518.06,0.43,Premium,ECO
74,Mercedes-Benz,Clase A,2016,Verde,111640.0,Eléctrico,Eléctrico,396x187x141,7,1675,362.0,205 kW,0.0,340.0,40544.86,10,1.5,0.11164000000000002,0.9,4054.49,36490.37,0.36,Lujo,CERO
75,BMW,X3,2015,Azul,200618.0,Híbrido,Híbrido Enchufable,444x176x144,5,1329,479.0,217 CV,48.4,74.0,28628.55,11,1.65,0.20061800000000002,0.9,2862.85,25765.7,0.14,Premium,ECO
76,Volkswagen,T-Roc,2023,Marrón,26580.0,Eléctrico,Eléctrico,383x175x148,5,1447,392.0,136 kW,0.0,394.0,31430.76,3,0.44999999999999996,0.02658,0.47657999999999995,16451.49,14979.27,1.18,Premium,CERO
77,Renault,Megane,2015,Negro,165539.0,Híbrido,Híbrido,423x175x151,5,1432,590.0,227 CV,34.2,739.0,10159.28,11,1.65,0.165539,0.9,1015.93,9143.35,0.06,Economico,ECO
78,Hyundai,i10,2016,Azul,225190.0,Híbrido,Híbrido,457x184x153,5,1320,358.0,163 CV,51.5,947.0,15065.07,10,1.5,0.22519,0.9,1506.51,13558.56,0.07,Medio,ECO
79,Ford,Puma,2015,Plata,230461.0,1.0 TSI,Gasolina,406x179x170,5,1240,448.0,158 CV,134.9,666.0,13341.66,11,1.65,0.230461,0.9,1334.17,12007.49,0.06,Economico,B
80,Dacia,Duster,2023,Amarillo,47223.0,1.5 dCi,Gasolina,382x184x169,5,1420,593.0,178 CV,130.9,781.5,10426.85,3,0.44999999999999996,0.047223,0.49722299999999997,5242.38,5184.47,0.22,Economico,B
81,Opel,Astra,2024,Naranja,34942.0,1.5 TSI,Gasolina,435x188x152,7,1180,458.0,161 CV,149.0,781.5,20615.8,2,0.3,0.034942,0.33494199999999996,13710.7,6905.1,0.59,Medio,B
82,Ford,Mondeo,2018,Rojo,156032.0,1.5 TSI,Diésel,393x174x148,5,1277,338.0,120 CV,137.8,837.0,18615.57,8,1.2,0.156032,0.9,1861.56,16754.01,0.12,Medio,B
83,BMW,iX3,2022,Marrón,74360.0,Eléctrico,Eléctrico,399x184x142,5,1552,440.0,251 kW,0.0,264.0,44405.54,4,0.6,0.07436000000000001,0.67436,14460.22,29945.32,0.6,Lujo,CERO
84,Renault,Captur,2022,Naranja,62222.0,Eléctrico,Eléctrico,389x190x167,5,1729,496.0,218 kW,0.0,398.0,23092.53,4,0.6,0.062222,0.662222,7800.15,15292.38,0.37,Medio,CERO
85,BMW,Serie 1,2022,Marrón,56672.0,Híbrido,Híbrido,444x174x170,5,1561,475.0,96 CV,55.2,726.0,36960.97,4,0.6,0.056672,0.6566719999999999,12689.74,24271.23,0.65,Lujo,ECO
86,Nissan,Leaf,2023,Marrón,39603.0,Eléctrico,Eléctrico,429x183x164,5,1795,471.0,116 kW,0.0,334.0,23613.05,3,0.44999999999999996,0.039603,0.48960299999999995,12052.03,11561.02,0.6,Medio,CERO
87,Kia,Stonic,2019,Azul,90489.0,Híbrido,Híbrido Enchufable,464x174x169,5,1417,500.0,108 CV,59.8,80.0,16769.75,7,1.05,0.090489,0.9,1676.97,15092.78,0.19,Medio,ECO
88,Ford,Kuga,2020,Gris,66372.0,Híbrido,Híbrido,445x181x140,5,1416,409.0,162 CV,77.4,715.0,22099.81,6,0.8999999999999999,0.066372,0.9,2209.98,19889.83,0.33,Medio,ECO
89,Peugeot,208,2019,Negro,172445.0,Híbrido,Híbrido Enchufable,384x180x168,7,1234,378.0,116 CV,39.0,72.0,22776.78,7,1.05,0.17244500000000001,0.9,2277.68,20499.1,0.13,Medio,ECO
90,BMW,Serie 3,2022,Blanco,85852.0,1.6 HDi,Diésel,458x179x164,5,1339,458.0,195 CV,135.7,947.0,38877.04,4,0.6,0.085852,0.685852,12213.14,26663.9,0.45,Lujo,B
91,Nissan,X-Trail,2019,Verde,171353.0,1.5 TSI,Diésel,457x174x167,5,1153,490.0,216 CV,137.0,864.0,20579.33,7,1.05,0.171353,0.9,2057.93,18521.4,0.12,Medio,B
92,Toyota,Yaris,2017,Azul,204507.0,1.5 dCi,Diésel,391x177x166,5,1457,512.0,88 CV,112.8,797.0,21336.2,9,1.3499999999999999,0.204507,0.9,2133.62,19202.58,0.1,Medio,C
93,Opel,Astra,2015,Rojo,123706.0,Eléctrico,Eléctrico,398x174x141,5,1583,371.0,294 kW,0.0,430.0,16677.88,11,1.65,0.12370600000000001,0.9,1667.79,15010.09,0.13,Medio,CERO
94,Hyundai,i10,2016,Blanco,163860.0,1.5 BlueHDi,Diésel,473x189x156,5,1213,421.0,152 CV,100.5,927.0,16671.19,10,1.5,0.16386,0.9,1667.12,15004.07,0.1,Medio,C
95,Nissan,Micra,2016,Naranja,85380.0,Híbrido,Híbrido Enchufable,410x174x149,5,1101,423.0,221 CV,50.8,71.0,19661.72,10,1.5,0.08538000000000001,0.9,1966.17,17695.55,0.23,Medio,ECO
96,Ford,Puma,2016,Amarillo,246240.0,Híbrido,Híbrido Enchufable,450x170x152,5,1144,491.0,139 CV,67.4,61.0,20180.16,10,1.5,0.24624000000000001,0.9,2018.02,18162.14,0.08,Medio,ECO
97,Opel,Astra,2016,Marrón,188950.0,Eléctrico,Eléctrico,449x180x166,5,1575,545.0,261 kW,0.0,296.0,20326.98,10,1.5,0.18895,0.9,2032.7,18294.28,0.11,Medio,CERO
98,Renault,Kadjar,2015,Azul,187440.0,1.0 TSI,Diésel,420x179x156,5,1656,318.0,240 CV,103.6,999.0,9282.43,11,1.65,0.18744000000000002,0.9,928.24,8354.19,0.05,Economico,C
99,Kia,Ceed,2019,Negro,140413.0,Híbrido,Híbrido,475x184x168,5,1447,554.0,202 CV,48.4,736.0,19319.18,7,1.05,0.140413,0.9,1931.92,17387.26,0.14,Medio,ECO
100,Dacia,Spring,2016,Verde,139130.0,Eléctrico,Eléctrico,393x172x150,5,1413,518.0,142 kW,0.0,426.0,13057.27,10,1.5,0.13913,0.9,1305.73,11751.54,0.09,Economico,CERO
101,Nissan,Micra,2020,Marrón,133512.0,1.2 TSI,Gasolina,465x190x152,5,1625,381.0,82 CV,140.4,617.0,15559.84,6,0.8999999999999999,0.13351200000000002,0.9,1555.98,14003.86,0.12,Medio,B
102,Volkswagen,T-Cross,2020,Verde,54366.0,Híbrido,Híbrido,427x181x154,5,1687,487.0,176 CV,45.7,658.0,17007.31,6,0.8999999999999999,0.054366000000000005,0.9,1700.73,15306.58,0.31,Medio,ECO
103,Peugeot,3008,2023,Verde,35574.0,Eléctrico,Eléctrico,470x184x146,7,1392,551.0,151 kW,0.0,281.0,23279.83,3,0.44999999999999996,0.035574,0.48557399999999995,11975.75,11304.08,0.65,Medio,CERO
104,Renault,Kadjar,2017,Naranja,97884.0,Eléctrico,Eléctrico,465x181x162,5,1663,453.0,140 kW,0.0,432.0,19914.51,9,1.3499999999999999,0.09788400000000001,0.9,1991.45,17923.06,0.2,Medio,CERO
105,Dacia,Duster,2020,Amarillo,92082.0,1.4 TSI,Diésel,410x185x140,5,1667,539.0,216 CV,100.8,633.0,11174.33,6,0.8999999999999999,0.092082,0.9,1117.43,10056.9,0.12,Economico,C
106,Dacia,Spring,2023,Verde,64248.0,1.4 TSI,Gasolina,420x190x142,5,1577,476.0,107 CV,149.0,693.0,16402.25,3,0.44999999999999996,0.06424800000000001,0.5142479999999999,7967.43,8434.82,0.26,Medio,B
107,Peugeot,3008,2023,Blanco,36204.0,Eléctrico,Eléctrico,401x175x150,5,1454,565.0,172 kW,0.0,466.0,22824.88,3,0.44999999999999996,0.036204,0.48620399999999997,11727.33,11097.55,0.63,Medio,CERO
108,Volkswagen,Tiguan,2019,Gris,125454.0,1.5 BlueHDi,Gasolina,462x175x158,7,1257,472.0,219 CV,139.825,641.0,16283.69,7,1.05,0.125454,0.9,1628.37,14655.32,0.13,Medio,B
109,Kia,Sportage,2019,Plata,151550.0,1.6 HDi,Gasolina,460x187x149,5,1594,507.0,151 CV,144.4,812.0,16784.01,7,1.05,0.15155000000000002,0.9,1678.4,15105.61,0.11,Medio,B
110,Volkswagen,T-Cross,2024,Gris,36484.0,Eléctrico,Eléctrico,473x181x152,5,1479,354.0,181 kW,0.0,311.0,31047.78,2,0.3,0.036484,0.336484,20600.7,10447.08,0.85,Premium,CERO
111,Toyota,RAV4,2018,Gris,159996.0,Híbrido,Híbrido,458x183x147,5,1435,460.0,123 CV,68.2,863.0,17954.52,8,1.2,0.15999600000000003,0.9,1795.45,16159.07,0.11,Medio,ECO
112,Audi,Q2,2022,Blanco,43800.0,Híbrido,Híbrido Enchufable,438x177x146,7,1461,466.56410256410254,147 CV,54.7,78.0,42550.8,4,0.6,0.043800000000000006,0.6437999999999999,15156.59,27394.21,0.97,Lujo,ECO
113,Kia,Stonic,2019,Amarillo,57869.0,Híbrido,Híbrido,397x178x163,5,1512,505.0,88 CV,58.5,883.0,15218.81,7,1.05,0.057869000000000004,0.9,1521.88,13696.93,0.26,Medio,ECO
114,Citroën,Berlingo,2022,Amarillo,68660.0,Híbrido,Híbrido Enchufable,467x189x143,5,1199,473.0,217 CV,76.9,74.0,19910.14,4,0.6,0.06866,0.66866,6597.03,13313.11,0.29,Medio,ECO
115,Hyundai,Tucson,2021,Amarillo,84250.0,2.0 TDI,Diésel,440x186x154,5,1720,371.0,158 CV,136.9,801.0,21844.93,5,0.75,0.08425,0.83425,3620.8,18224.13,0.26,Medio,B
116,Dacia,Jogger,2024,Rojo,49246.0,Híbrido,Híbrido Enchufable,442x188x149,5,1117,356.0,181 CV,59.2,75.0,20726.14,2,0.3,0.049246000000000005,0.349246,13487.62,7238.52,0.42,Medio,ECO
117,Mercedes-Benz,Clase A,2024,Naranja,33400.0,Híbrido,Híbrido Enchufable,453x177x163,5,1697,568.0,236 CV,66.1,74.0,52065.34,2,0.3,0.033400000000000006,0.3334,34706.76,17358.58,1.56,Lujo,ECO
118,Peugeot,308,2015,Marrón,127611.0,Híbrido,Híbrido,420x183x144,5,1308,541.0,90 CV,65.3,887.0,12900.4,11,1.65,0.127611,0.9,1290.04,11610.36,0.1,Economico,ECO
119,Kia,Stonic,2023,Verde,54843.0,Híbrido,Híbrido,448x180x157,5,1792,435.0,231 CV,54.2,742.0,20334.69,3,0.44999999999999996,0.054843,0.5048429999999999,10068.86,10265.83,0.37,Medio,ECO
120,Volkswagen,T-Cross,2019,Plata,168161.0,Eléctrico,Eléctrico,451x178x149,5,1687,494.0,201 kW,0.0,459.0,24357.08,7,1.05,0.168161,0.9,2435.71,21921.37,0.14,Medio,CERO
